Date,Visitor,Home,Time,Location,Week
12/7/2025,Cincinnati,@ Buffalo,1:25 PM,"Highmark Stadium, Orchard Park, NY",14
12/7/2025,Los Angeles2,@ Arizona,1:25 PM,"State Farm Stadium, Glendale, AZ",14
12/7/2025,Houston,@ Kansas City,5:20 PM,"GEHA Field at Arrowhead Stadium, Kansas City, MO",14
12/8/2025,Philadelphia,@ Los Angeles1,5:15 AM,"SoFi Stadium, Inglewood, CA",14
12/11/2025,Atlanta,@ Tampa Bay,5:15 AM,"Raymond James Stadium, Tampa, FL",15
12/14/2025,Cleveland,@ Chicago,10:00 AM,"Soldier Field, Chicago, IL",15
12/14/2025,Baltimore,@ Cincinnati,10:00 AM,"Paycor Stadium, Cincinnati, OH",15
12/14/2025,Los Angeles1,@ Kansas City,10:00 AM,"GEHA Field at Arrowhead Stadium, Kansas City, MO",15
12/14/2025,Buffalo,@ New England,10:00 AM,"Gillette Stadium, Foxborough, MA",15
12/14/2025,Washington,@ New York1,10:00 AM,"MetLife Stadium, East Rutherford, NJ",15
12/14/2025,Las Vegas,@ Philadelphia,10:00 AM,"Lincoln Financial Field, Philadelphia, PA",15
12/14/2025,New York2,@ Jacksonville,10:00 AM,"EverBank Stadium, Jacksonville, FL",15
12/14/2025,Arizona,@ Houston,10:00 AM,"NRG Stadium, Houston, TX",15
12/14/2025,Green Bay,@ Denver,1:25 PM,"Empower Field at Mile High, Denver, CO",15
12/14/2025,Detroit,@ Los Angeles2,1:25 PM,"SoFi Stadium, Inglewood, CA",15
12/14/2025,Carolina,@ New Orleans,1:25 PM,"Caesars Superdome, New Orleans, LA",15
12/14/2025,Tennessee,@ San Francisco,1:25 PM,"Levi's Stadium, Santa Clara, CA",15
12/14/2025,Indianapolis,@ Seattle,1:25 PM,"Lumen Field, Seattle, WA",15
12/14/2025,Minnesota,@ Dallas,5:20 PM,"AT&T Stadium, Arlington, TX",15
12/15/2025,Miami,@ Pittsburgh,5:15 PM,"Acrisure Stadium, Pittsburgh, PA",15
12/18/2025,Los Angeles2,@ Seattle,5:15 PM,"Lumen Field, Seattle, WA",16
12/21/2025,Buffalo,@ Cleveland,10:00 AM,"Huntington Bank Field, Cleveland, OH",16
12/21/2025,Los Angeles1,@ Dallas,10:00 AM,"AT&T Stadium, Arlington, TX",16
12/21/2025,Kansas City,@ Tennessee,10:00 AM,"Nissan Stadium, Nashville, TN",16
12/21/2025,New York2,@ New Orleans,10:00 AM,"Caesars Superdome, New Orleans, LA",16
12/21/2025,Minnesota,@ New York1,10:00 AM,"MetLife Stadium, East Rutherford, NJ",16
12/21/2025,Tampa Bay,@ Carolina,10:00 AM,"Bank of America Stadium, Charlotte, NC",16
